# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	1589962	976	-						61186100	FGL89_RS00005	1023		old_locus_tag=FGL89_00005
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	1589962	976	-	WP_014974506.1	WP_014974506.1		phosphomevalonate kinase		61186100	FGL89_RS00005	1023	340	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	969	1919	-					mvaD	61186101	FGL89_RS00010	951		old_locus_tag=FGL89_00010
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	969	1919	-	WP_014974505.1	WP_014974505.1		diphosphomevalonate decarboxylase	mvaD	61186101	FGL89_RS00010	951	316	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	2089	3255	+						61186102	FGL89_RS00015	1167		old_locus_tag=FGL89_00015
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	2089	3255	+	WP_014974504.1	WP_014974504.1		AI-2E family transporter		61186102	FGL89_RS00015	1167	388	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	3260	3772	+						61186103	FGL89_RS00020	513		old_locus_tag=FGL89_00020
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	3260	3772	+	WP_014974503.1	WP_014974503.1		tRNA (cytidine(34)-2'-O)-methyltransferase		61186103	FGL89_RS00020	513	170	
gene	tRNA	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	3847	3918	+						61186104	FGL89_RS00025	72		old_locus_tag=FGL89_00025
tRNA		GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	3847	3918	+				tRNA-Glu		61186104	FGL89_RS00025	72		anticodon=TTC
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	4057	6453	+						61186105	FGL89_RS00030	2397		old_locus_tag=FGL89_00030
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	4057	6453	+	WP_014974502.1	WP_014974502.1		DNA translocase FtsK		61186105	FGL89_RS00030	2397	798	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	6498	6989	-						61186106	FGL89_RS00035	492		old_locus_tag=FGL89_00035
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	6498	6989	-	WP_014974501.1	WP_014974501.1		hypothetical protein		61186106	FGL89_RS00035	492	163	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	6992	8647	-					ade	61186107	FGL89_RS00040	1656		old_locus_tag=FGL89_00040
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	6992	8647	-	WP_014974500.1	WP_014974500.1		adenine deaminase	ade	61186107	FGL89_RS00040	1656	551	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	8854	10659	+					glmS	61186108	FGL89_RS00045	1806		old_locus_tag=FGL89_00045
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	8854	10659	+	WP_014974499.1	WP_014974499.1		glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS	61186108	FGL89_RS00045	1806	601	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	10771	11550	+						61186109	FGL89_RS00050	780		old_locus_tag=FGL89_00050
CDS	with_protein	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	10771	11550	+	WP_014974498.1	WP_014974498.1		isoprenyl transferase		61186109	FGL89_RS00050	780	259	
gene	protein_coding	GCF_007954525.1	Primary Assembly	chromosome		NZ_CP042374.1	11554	12348	+						61186110	FGL89_RS00055	795		old_locus_tag=FGL89_00055
