# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	2114151	360	-						64343662	I6H60_RS00005	867		old_locus_tag=I6H60_00005
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	2114151	360	-	WP_010292492.1	WP_010292492.1		L-ribulose-5-phosphate 3-epimerase		64343662	I6H60_RS00005	867	288	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	363	530	-						64343663	I6H60_RS00010	168		old_locus_tag=I6H60_00010
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	363	530	-	WP_198489515.1	WP_198489515.1		hypothetical protein		64343663	I6H60_RS00010	168	55	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	496	1143	-						64343664	I6H60_RS00015	648		old_locus_tag=I6H60_00015
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	496	1143	-	WP_198489517.1	WP_198489517.1		3-keto-L-gulonate-6-phosphate decarboxylase UlaD		64343664	I6H60_RS00015	648	215	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	1154	1459	-						64343665	I6H60_RS00020	306		old_locus_tag=I6H60_00020
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	1154	1459	-	WP_004913450.1	WP_004913450.1		PTS sugar transporter subunit IIB		64343665	I6H60_RS00020	306	101	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	1492	3003	-						64343666	I6H60_RS00025	1512		old_locus_tag=I6H60_00025
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	1492	3003	-	WP_031941304.1	WP_031941304.1		PTS ascorbate transporter subunit IIC		64343666	I6H60_RS00025	1512	503	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	3014	3493	-						64343667	I6H60_RS00030	480		old_locus_tag=I6H60_00030
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	3014	3493	-	WP_010292480.1	WP_010292480.1		PTS sugar transporter subunit IIA		64343667	I6H60_RS00030	480	159	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	3506	4579	-					ulaG	64343668	I6H60_RS00035	1074		old_locus_tag=I6H60_00035
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	3506	4579	-	WP_004914196.1	WP_004914196.1		L-ascorbate 6-phosphate lactonase	ulaG	64343668	I6H60_RS00035	1074	357	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	4789	6285	+						64343669	I6H60_RS00040	1497		old_locus_tag=I6H60_00040
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	4789	6285	+	WP_242455652.1	WP_242455652.1		transcriptional antiterminator		64343669	I6H60_RS00040	1497	498	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	6282	7097	+						64343670	I6H60_RS00045	816		old_locus_tag=I6H60_00045
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	6282	7097	+	WP_010292474.1	WP_010292474.1		Cof-type HAD-IIB family hydrolase		64343670	I6H60_RS00045	816	271	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	7253	7819	+						64343671	I6H60_RS00050	567		old_locus_tag=I6H60_00050
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	7253	7819	+	WP_031941004.1	WP_031941004.1		5'-3'-deoxyribonucleotidase		64343671	I6H60_RS00050	567	188	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	7823	8701	+					fba	64343672	I6H60_RS00055	879		old_locus_tag=I6H60_00055
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	7823	8701	+	WP_010278660.1	WP_010278660.1		class II fructose-1,6-bisphosphate aldolase	fba	64343672	I6H60_RS00055	879	292	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	8768	9481	-						64343673	I6H60_RS00060	714		old_locus_tag=I6H60_00060
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	8768	9481	-	WP_031941005.1	WP_031941005.1		ABC transporter ATP-binding protein		64343673	I6H60_RS00060	714	237	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	9478	10263	-						64343674	I6H60_RS00065	786		old_locus_tag=I6H60_00065
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	9478	10263	-	WP_010278666.1	WP_010278666.1		ABC transporter ATP-binding protein		64343674	I6H60_RS00065	786	261	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	10235	11209	-						64343675	I6H60_RS00070	975		old_locus_tag=I6H60_00070
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	10235	11209	-	WP_147651143.1	WP_147651143.1		branched-chain amino acid ABC transporter permease		64343675	I6H60_RS00070	975	324	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	11209	12087	-						64343676	I6H60_RS00075	879		old_locus_tag=I6H60_00075
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	11209	12087	-	WP_010296533.1	WP_010296533.1		branched-chain amino acid ABC transporter permease		64343676	I6H60_RS00075	879	292	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	12136	13314	-						64343677	I6H60_RS00080	1179		old_locus_tag=I6H60_00080
CDS	with_protein	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	12136	13314	-	WP_010296532.1	WP_010296532.1		ABC transporter substrate-binding protein		64343677	I6H60_RS00080	1179	392	
gene	protein_coding	GCF_016127255.1	Primary Assembly	chromosome		NZ_CP065993.1	13781	14518	+						64343678	I6H60_RS00085	738		old_locus_tag=I6H60_00085
