# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	1987209	450	+						61175815	C7M43_RS00005	1491		
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	1987209	450	+	WP_071952325.1	WP_071952325.1		carboxypeptidase M32		61175815	C7M43_RS00005	1491	496	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	710	979	+						61175816	C7M43_RS00010	270		old_locus_tag=C7M43_00002
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	710	979	+	WP_002815800.1	WP_002815800.1		phosphocarrier protein HPr		61175816	C7M43_RS00010	270	89	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	981	2696	+					ptsP	61175817	C7M43_RS00015	1716		old_locus_tag=C7M43_00003
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	981	2696	+	WP_011680377.1	WP_011680377.1		phosphoenolpyruvate--protein phosphotransferase	ptsP	61175817	C7M43_RS00015	1716	571	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	2813	3523	+					tsaB	61175818	C7M43_RS00020	711		old_locus_tag=C7M43_00004
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	2813	3523	+	WP_011680376.1	WP_011680376.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	tsaB	61175818	C7M43_RS00020	711	236	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	3507	4064	+					rimI	61175819	C7M43_RS00025	558		old_locus_tag=C7M43_00005
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	3507	4064	+	WP_014325103.1	WP_014325103.1		ribosomal protein S18-alanine N-acetyltransferase	rimI	61175819	C7M43_RS00025	558	185	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	4042	4452	+					rimI	61175820	C7M43_RS00030	411		old_locus_tag=C7M43_00006
CDS	with_protein	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	4042	4452	+	WP_011680374.1	WP_011680374.1		ribosomal protein S18-alanine N-acetyltransferase	rimI	61175820	C7M43_RS00030	411	136	
gene	protein_coding	GCF_009913915.1	Primary Assembly	chromosome		NZ_CP028251.1	4445	5461	+					tsaD	61175821	C7M43_RS00035	1017		old_locus_tag=C7M43_00007
