# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	1864973	299	-					hflX	61101405	FGL72_RS00005	1299		old_locus_tag=FGL72_00005
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	1864973	299	-	WP_004904430.1	WP_004904430.1		GTPase HflX	hflX	61101405	FGL72_RS00005	1299	432	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	515	1180	-						61101406	FGL72_RS00010	666		old_locus_tag=FGL72_00010
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	515	1180	-	WP_004899366.1	WP_004899366.1		histidine phosphatase family protein		61101406	FGL72_RS00010	666	221	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	1308	2714	-						61101407	FGL72_RS00015	1407		old_locus_tag=FGL72_00015
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	1308	2714	-	WP_004899359.1	WP_004899359.1		hemolysin family protein		61101407	FGL72_RS00015	1407	468	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	3200	3430	+					nrdH	61101408	FGL72_RS00020	231		old_locus_tag=FGL72_00020
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	3200	3430	+	WP_004904428.1	WP_004904428.1		glutaredoxin-like protein NrdH	nrdH	61101408	FGL72_RS00020	231	76	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	3514	5685	+					nrdE	61101409	FGL72_RS00025	2172		old_locus_tag=FGL72_00025
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	3514	5685	+	WP_004899357.1	WP_004899357.1		class 1b ribonucleoside-diphosphate reductase subunit alpha	nrdE	61101409	FGL72_RS00025	2172	723	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	5766	6206	+						61101410	FGL72_RS00030	441		old_locus_tag=FGL72_00030
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	5766	6206	+	WP_004899354.1	WP_004899354.1		class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI		61101410	FGL72_RS00030	441	146	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	6209	7183	+					nrdF	61101411	FGL72_RS00035	975		old_locus_tag=FGL72_00035
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	6209	7183	+	WP_085699516.1	WP_085699516.1		class 1b ribonucleoside-diphosphate reductase subunit beta	nrdF	61101411	FGL72_RS00035	975	324	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	7243	7911	-						61101412	FGL72_RS00040	669		old_locus_tag=FGL72_00040
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	7243	7911	-	WP_085699518.1	WP_085699518.1		phosphatase PAP2 family protein		61101412	FGL72_RS00040	669	222	
gene	tRNA	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8098	8180	+						61101413	FGL72_RS00045	83		old_locus_tag=FGL72_00045
tRNA		GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8098	8180	+				tRNA-Tyr		61101413	FGL72_RS00045	83		anticodon=GTA
gene	tRNA	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8220	8291	+						61101414	FGL72_RS00050	72		old_locus_tag=FGL72_00050
tRNA		GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8220	8291	+				tRNA-Gln		61101414	FGL72_RS00050	72		anticodon=TTG
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8388	9101	-					gpmA	61101415	FGL72_RS00055	714		old_locus_tag=FGL72_00055
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	8388	9101	-	WP_004899344.1	WP_004899344.1		2,3-diphosphoglycerate-dependent phosphoglycerate mutase	gpmA	61101415	FGL72_RS00055	714	237	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9211	9411	-						61101416	FGL72_RS00060	201		old_locus_tag=FGL72_00060
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9211	9411	-	WP_004899341.1	WP_004899341.1		cold-shock protein		61101416	FGL72_RS00060	201	66	
gene	tRNA	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9671	9755	+						61101417	FGL72_RS00065	85		old_locus_tag=FGL72_00065
tRNA		GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9671	9755	+				tRNA-Leu		61101417	FGL72_RS00065	85		anticodon=AAG
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9856	10197	+						61101418	FGL72_RS00070	342		old_locus_tag=FGL72_00070
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	9856	10197	+	WP_004899340.1	WP_004899340.1		hypothetical protein		61101418	FGL72_RS00070	342	113	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	10200	11012	+					tpiA	61101419	FGL72_RS00075	813		old_locus_tag=FGL72_00075
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	10200	11012	+	WP_004899338.1	WP_004899338.1		triose-phosphate isomerase	tpiA	61101419	FGL72_RS00075	813	270	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	11248	14862	+						61101420	FGL72_RS00080	3615		old_locus_tag=FGL72_00080
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	11248	14862	+	WP_004904425.1	WP_004904425.1		DNA-directed RNA polymerase subunit beta		61101420	FGL72_RS00080	3615	1204	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	15004	18666	+					rpoC	61101421	FGL72_RS00085	3663		old_locus_tag=FGL72_00085
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	15004	18666	+	WP_004899333.1	WP_004899333.1		DNA-directed RNA polymerase subunit beta'	rpoC	61101421	FGL72_RS00085	3663	1220	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	18876	19283	+						61101422	FGL72_RS00090	408		old_locus_tag=FGL72_00090
CDS	with_protein	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	18876	19283	+	WP_004899332.1	WP_004899332.1		Mini-ribonuclease 3		61101422	FGL72_RS00090	408	135	
gene	protein_coding	GCF_007954785.1	Primary Assembly	chromosome		NZ_CP042410.1	19280	20041	+					rlmB	61101423	FGL72_RS00095	762		old_locus_tag=FGL72_00095
